epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,4882.13,1.27733,0.98814,0.99844,0.73889,0.55462,0.62408,0.38468,1.41888,1.29895,1.08425,0.0072775,0.0072775,0.0072775
24,5092.93,1.26174,0.99523,0.99443,0.74506,0.54898,0.62979,0.37951,1.41853,1.31655,1.08601,0.00715375,0.00715375,0.00715375
25,5304.29,1.25679,0.96154,0.98879,0.71243,0.56915,0.61711,0.37315,1.43077,1.28568,1.08266,0.00703,0.00703,0.00703
26,5516.28,1.22949,0.91985,0.98226,0.76253,0.55893,0.64609,0.38916,1.45566,1.26389,1.08547,0.00690625,0.00690625,0.00690625
27,5728.15,1.21903,0.91777,0.97688,0.70327,0.5673,0.61442,0.36859,1.44512,1.2931,1.09714,0.0067825,0.0067825,0.0067825
28,5939.81,1.23928,0.93122,0.98118,0.72741,0.56237,0.61942,0.37005,1.44481,1.30721,1.10559,0.00665875,0.00665875,0.00665875
29,6151.39,1.21731,0.88325,0.97584,0.73856,0.55321,0.63457,0.38472,1.44084,1.2979,1.0903,0.006535,0.006535,0.006535
30,6362.94,1.20445,0.88389,0.97486,0.71694,0.56762,0.62571,0.37687,1.4636,1.25455,1.08686,0.00641125,0.00641125,0.00641125
31,6574.86,1.20349,0.87011,0.96852,0.7749,0.53911,0.63319,0.38097,1.45113,1.25602,1.1062,0.0062875,0.0062875,0.0062875
32,6786.6,1.21047,0.86663,0.97261,0.7677,0.5518,0.63576,0.38845,1.43725,1.28809,1.09637,0.00616375,0.00616375,0.00616375
33,6998.38,1.1822,0.82748,0.96284,0.74356,0.55579,0.6268,0.38068,1.44454,1.29816,1.10077,0.00604,0.00604,0.00604
34,7210.44,1.1798,0.81985,0.95943,0.71612,0.57082,0.62863,0.377,1.44549,1.27732,1.10199,0.00591625,0.00591625,0.00591625
35,7422.22,1.18124,0.82726,0.95979,0.71936,0.55391,0.62277,0.37283,1.45976,1.31513,1.10327,0.0057925,0.0057925,0.0057925
36,7633.97,1.15415,0.78508,0.95208,0.79713,0.5372,0.63618,0.38556,1.40348,1.27276,1.08894,0.00566875,0.00566875,0.00566875
37,7845.44,1.16254,0.7711,0.95492,0.71852,0.5673,0.62019,0.36913,1.46904,1.3596,1.09794,0.005545,0.005545,0.005545
38,8057.08,1.13701,0.75523,0.94621,0.73715,0.57787,0.63168,0.38739,1.43854,1.32189,1.09023,0.00542125,0.00542125,0.00542125
39,8268.91,1.13973,0.77424,0.94938,0.75611,0.57023,0.64108,0.38672,1.46115,1.26766,1.09775,0.0052975,0.0052975,0.0052975
40,8481.24,nan,nan,nan,0.75823,0.55039,0.62498,0.38104,nan,nan,nan,0.00517375,0.00517375,0.00517375
41,8687.1,nan,nan,nan,0.72619,0.53982,0.60324,0.35654,nan,nan,nan,0.00505,0.00505,0.00505
