epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1911.1,1.72296,1.54771,0.98669,0.66172,0.44114,0.48277,0.21,1.84524,1.71296,1.04451,0.000665888,0.000665888,0.000665888
2,3239.91,1.764,1.58339,0.99862,0.62554,0.47146,0.5037,0.25225,1.7878,1.57466,1.03983,0.00116765,0.00116765,0.00116765
3,4022.91,1.71769,1.57493,0.9873,0.65545,0.47457,0.5314,0.27652,1.6693,1.51577,1.01163,0.00150441,0.00150441,0.00150441
4,4805.24,1.70511,1.48969,0.97154,0.68442,0.4926,0.54381,0.27311,1.6813,1.48505,0.9994,0.0012575,0.0012575,0.0012575
5,5606.86,1.62466,1.40565,0.95565,0.68847,0.49824,0.54869,0.26525,1.78734,1.42503,1.01803,0.00101,0.00101,0.00101
6,6406.08,1.61648,1.37488,0.95939,0.72335,0.49471,0.56527,0.28812,1.6693,1.41649,0.99641,0.0007625,0.0007625,0.0007625
7,7204.63,1.54605,1.27362,0.94265,0.76152,0.49508,0.58069,0.2946,1.69013,1.37699,0.99492,0.000515,0.000515,0.000515
8,7999.61,1.49181,1.1983,0.93536,0.74516,0.51515,0.59281,0.33198,1.56487,1.29626,0.97167,0.0002675,0.0002675,0.0002675
